Product ID	Product Name	Product Description	Product Page URL	Product Image URL	Product Brand	Product Category	UPC - Universal Product Code	Manufacturer Part Number	Original Price	Sale Price	Condition	Operating System	Processor Type	Processor Speed	Processor Number	Memory Size	Hard Drive Size	Warranty	Optical Drive	Graphics Memory	Graphics Chipset	adwords_queryparam	adwords_prefer_for_query	Shipping Cost	Product Type	Additional Images	c:druse:boolean	Screen Size
450292	Toshiba Camileo X100 HD Camcorder	Visit Toshiba Direct for a Toshiba Camileo X100 HD Camcorder and see the entire collection of Video Cameras.	http://www.toshibadirect.com/td/b2c/electronics-detail.to?poid=450292	http://www.toshibadirect.com/images/ui3/accessories/to_pa3790u_100.jpg	Toshiba	Electronics	883974293087	PA3790U-1CAM	349.99	279.99	New											adId=GooglePlusBox	Electronics	19.99	RTS	/images/products/Camileo_X100_01.jpg,/images/products/Camileo_X100_02.jpg,/images/products/Camileo_X100_03.jpg,/images/products/Camileo_X100_04.jpg,/images/products/Camileo_X100_05.jpg	false	
479805	Toshiba SD-V296 DVD/VCR Player		http://www.toshibadirect.com/td/b2c/electronics-detail.to?poid=479805	http://www.toshibadirect.com/images/products/100/blu-ray-dvd/sd-v296.gif	Toshiba	Electronics	022265001844	SD-V296	89.99	89.99	New											adId=GooglePlusBox	Electronics	19.99	SKU		false	
491853	Toshiba Camileo S30 HD Camcorder	Visit Toshiba Direct for a Toshiba Camileo S30 HD Camcorder and see the entire collection of Video Cameras.	http://www.toshibadirect.com/td/b2c/electronics-detail.to?poid=491853	http://www.toshibadirect.com/images/ui3/accessories/to_pa3893u_100.jpg	Toshiba	Electronics	883974552207	PA3893U-1CAM	179.99	119.99	New											adId=GooglePlusBox	Electronics	19.99	RTS	/images/products/CAMILEO_S30_01.jpg,/images/products/CAMILEO_S30_02.jpg,/images/products/CAMILEO_S30_03.jpg,/images/products/CAMILEO_S30_04.jpg,/images/products/CAMILEO_S30_05.jpg	false	
501033	NB305-N600	NB305-N600	http://www.toshibadirect.com/td/b2c/pdet.to?poid=501033	http://www.toshibadirect.com/images/products/100/miniNB305-N600-netbook.gif	Toshiba	Notebook PCs	883974681600	PLL3DU-002002	349.99	349.99	New	<a href='http://www.toshibadirect.com/td/b2c/toshibadirect.to?page=genuineWindows' title='The Windows Genuine Advantage - Toshiba' target='_blank'>Genuine</a> Windows 7 Starter (32-bit)	Intel&reg; Atom&#153;	1.50GHz	N550	1GB	250GB		<I><B>Sold Separately:</B></I> Toshiba USB Portable DVD SuperMulti Drive	0MB-250MB dynamically allocated shared graphics memory		adId=GooglePlusBox	Laptops	19.99	RTS	/images/products/miniNB305-N600-600-01.jpg,/images/products/miniNB305-N600-600-02.jpg,/images/products/miniNB305-N600-600-03.jpg,/images/products/miniNB305-N600-600-04.jpg,/images/products/miniNB305-N600-600-05.jpg,/images/products/miniNB305-N600-600-06.jpg,/images/products/miniNB305-N600-600-07.jpg,/images/products/miniNB305-N600-600-08.jpg,/images/products/miniNB305-N600-600-09.jpg,/images/products/miniNB305-N600-600-10.jpg,/images/products/miniNB305-N600-600-11.jpg,/images/products/miniNB305-N600-600-12.jpg,/images/products/miniNB305-N600-600-13.jpg	true	10.1
495022	Satellite Pro L640-EZ1411 Laptop		http://www.toshibadirect.com/td/b2c/pdet.to?poid=495022	http://www.toshibadirect.com/images/products/100/satellite-pro-l640-ez1411-laptop.gif	Toshiba	Notebook PCs	883974634620	PSK0HU-00J00G	749.0	749.0	New	<a href='http://www.toshibadirect.com/td/b2c/toshibadirect.to?page=genuineWindows' title='The Windows Genuine Advantage - Toshiba' target='_blank'>Genuine</a> Windows 7 Professional (64-bit)	Intel&reg; Core&#153; i3	2.40GHz	i3-370M	3GB	320GB		DVD-SuperMulti drive (+/-R double layer)	64MB-1274MB dynamically allocated shared graphics memory		adId=GooglePlusBox	Laptops	0	RTS	/images/products/satellite-pro-L640-EZ1411-600-01.jpg,/images/products/satellite-pro-L640-EZ1411-600-02.jpg,/images/products/satellite-pro-L640-EZ1411-600-03.jpg,/images/products/satellite-pro-L640-EZ1411-600-04.jpg,/images/products/satellite-pro-L640-EZ1411-600-05.jpg,/images/products/satellite-pro-L640-EZ1411-600-06.jpg,/images/products/satellite-pro-L640-EZ1411-600-07.jpg,/images/products/satellite-pro-L640-EZ1411-600-08.jpg,/images/products/satellite-pro-L640-EZ1411-600-09.jpg	true	14.0
493366	Toshiba DR570 DVD Recorder		http://www.toshibadirect.com/td/b2c/adet.to?poid=493366	http://www.toshibadirect.com/images/products/100/blu-ray-dvd/dr570.gif	Toshiba	Electronics	022265002100	DR570	179.99	179.99	New											adId=GooglePlusBox	Electronics	19.99	SKU	/images/products/dvdrecorder-dr570-600-01.jpg,/images/products/dvdrecorder-dr570-600-02.jpg,/images/products/dvdrecorder-dr570-600-03.jpg,/images/products/dvdrecorder-dr570-600-04.jpg,/images/products/dvdrecorder-dr570-600-05.jpg	false	
493364	Toshiba SD7300 DVD Player		http://www.toshibadirect.com/td/b2c/electronics-detail.to?poid=493364	http://www.toshibadirect.com/images/products/100/blu-ray-dvd/sd7300.gif	Toshiba	Electronics	022265003183	SD7300	49.99	49.99	New											adId=GooglePlusBox	Electronics	19.99	SKU	/images/products/dvd-player-sd7300-600-01.jpg,/images/products/dvd-player-sd7300-600-02.jpg	false	
493368	Toshiba DVR670 DVD Recorder		http://www.toshibadirect.com/td/b2c/adet.to?poid=493368	http://www.toshibadirect.com/images/products/100/blu-ray-dvd/dvr670.gif	Toshiba	Electronics	022265002117	DVR670	249.99	249.99	New											adId=GooglePlusBox	Electronics	19.99	SKU	/images/products/dvdrecorder-dr670-600-01.jpg,/images/products/dvdrecorder-dr670-600-02.jpg,/images/products/dvdrecorder-dr670-600-03.jpg,/images/products/dvdrecorder-dr670-600-04.jpg,/images/products/dvdrecorder-dr670-600-05.jpg,/images/products/dvdrecorder-dr670-600-06.jpg	false	
492179	Toshiba SD3300 DVD Player		http://www.toshibadirect.com/td/b2c/electronics-detail.to?poid=492179	http://www.toshibadirect.com/images/products/100/blu-ray-dvd/sd3300.gif	Toshiba	Electronics	022265003145	SD3300	29.99	29.99	New											adId=GooglePlusBox	Electronics	19.99	SKU	/images/products/dvd-player-sd3300-600-01.jpg,/images/products/dvd-player-sd3300-600-02.jpg	false	
493360	Toshiba SD4300 DVD Player		http://www.toshibadirect.com/td/b2c/electronics-detail.to?poid=493360	http://www.toshibadirect.com/images/products/100/blu-ray-dvd/sd4300.gif	Toshiba	Electronics	022265003152	SD4300	39.99	39.99	New											adId=GooglePlusBox	Electronics	19.99	SKU	/images/products/dvd-player-sd4300-600-01.jpg,/images/products/dvd-player-sd4300-600-02.jpg	false	
493367	Toshiba DVR620 DVD Recorder		http://www.toshibadirect.com/td/b2c/adet.to?poid=493367	http://www.toshibadirect.com/images/products/100/blu-ray-dvd/dvr620.gif	Toshiba	Electronics	022265002223	DVR620	179.99	179.99	New											adId=GooglePlusBox	Electronics	19.99	RTS	/images/products/dvdrecorder-dr620-600-01.jpg,/images/products/dvdrecorder-dr620-600-02.jpg,/images/products/dvdrecorder-dr620-600-03.jpg,/images/products/dvdrecorder-dr620-600-04.jpg,/images/products/dvdrecorder-dr620-600-05.jpg	false	
501176	NB505-N508OR	NB505-N508OR	http://www.toshibadirect.com/td/b2c/pdet.to?poid=501176	http://www.toshibadirect.com/images/products/100/miniNB505-N50xOR-netbook.gif	Toshiba	Notebook PCs	883974682942	PLL50U-01700C	269.99	269.99	New	<a href='http://www.toshibadirect.com/td/b2c/toshibadirect.to?page=genuineWindows' title='The Windows Genuine Advantage - Toshiba' target='_blank'>Genuine</a> Windows 7 Starter (32-bit)	Intel&reg; Atom&#153;	1.66GHz	N455	1GB	250GB		<I><B>Sold Separately:</B></I> Toshiba USB Portable DVD SuperMulti Drive	0MB-250MB dynamically allocated shared graphics memory		adId=GooglePlusBox	Laptops	19.99	RTS	/images/products/miniNB505-N50xOR-600-01.jpg,/images/products/miniNB505-N50xOR-600-02.jpg,/images/products/miniNB505-N50xOR-600-03.jpg,/images/products/miniNB505-N50xOR-600-04.jpg,/images/products/miniNB505-N50xOR-600-05.jpg,/images/products/miniNB505-N50xOR-600-06.jpg,/images/products/miniNB505-N50xOR-600-07.jpg,/images/products/miniNB505-N50xOR-600-08.jpg,/images/products/miniNB505-N50xOR-600-09.jpg,/images/products/miniNB505-N50xOR-600-10.jpg,/images/products/miniNB505-N50xOR-600-11.jpg,/images/products/miniNB505-N50xOR-600-12.jpg,/images/products/miniNB505-N50xOR-600-13.jpg	true	10.1
