Product ID	Product Name	Product Description	Product Page URL	Product Image URL	Product Brand	Product Category	UPC - Universal Product Code	Manufacturer Part Number	Original Price	Sale Price	Condition	Operating System	Processor Type	Processor Speed	Processor Number	Memory Size	Hard Drive Size	Warranty	Optical Drive	Graphics Memory	Graphics Chipset	adwords_queryparam	adwords_prefer_for_query	Shipping Cost	Product Type	Additional Images	c:druse:boolean	Screen Size	Hard Drive Speed
497975	Satellite L650-ST2NX1 Laptop		http://www.toshibadirect.com/td/b2c/pdet.to?poid=497975	http://www.toshibadirect.com/images/products/100/satellite-l650-st2nx1-laptop.gif	Toshiba	Notebook PCs	883974658862	PSK2CU-0LT01X	699.0	699.0	New	<a href='http://www.toshibadirect.com/td/b2c/toshibadirect.to?page=genuineWindows' title='The Windows Genuine Advantage - Toshiba' target='_blank'>Genuine</a> Windows 7 Home Premium (64-bit)	Intel&reg; Core&#153; i3	2.40GHz	i3-370M	4GB	500GB		DVD-SuperMulti drive (+/-R double layer)	64MB-1696MB dynamically allocated shared graphics memory		adId=GooglePlusBox	Laptops	0	SKU	/images/products/satellite-l650-st2g01-600-01.jpg,/images/products/satellite-l650-st2g01-600-01.jpg,/images/products/satellite-l650-st2g01-600-01.jpg,/images/products/satellite-l650-st2g01-600-01.jpg,/images/products/satellite-l650-st2g01-600-01.jpg,/images/products/satellite-l650-st2g01-600-01.jpg,/images/products/satellite-l650-st2g01-600-01.jpg,/images/products/satellite-l650-st2g01-600-01.jpg	false	15.6	5400.0
2000011083	Qosmio F755-3D320	Qosmio F755-3D320 Laptop	http://www.toshibadirect.com/td/b2c/pdet.to?poid=2000011083	http://www.toshibadirect.com/images/products/100/qosmio_f755-3d320-laptop.gif	Toshiba	Notebook PCs	883974905362	PQF75U-03E01S	1299.99	1199.99	New	<a href='http://www.toshibadirect.com/td/b2c/toshibadirect.to?page=genuineWindows' title='The Windows Genuine Advantage - Toshiba' target='_blank'>Genuine</a> Windows 7 Home Premium (64-bit), SP1	Intel&reg; Core&#153; i5	2.40GHz (3.00GHz with Turbo Boost Technology)		6GB	750GB		Blu-ray Disc&#153; ROM and DVD SuperMulti drive with Labelflash&reg;	1GB GDDR3 discrete graphics memory		adId=GooglePlusBox	Laptops	0	RTS	/images/products/qosmio_f755-3d320-600-01.jpg,/images/products/qosmio_f755-3d320-600-02.jpg,/images/products/qosmio_f755-3d320-600-03.jpg,/images/products/qosmio_f755-3d320-600-04.jpg,/images/products/qosmio_f755-3d320-600-05.jpg,/images/products/qosmio_f755-3d320-600-06.jpg,/images/products/qosmio_f755-3d320-600-07.jpg,/images/products/qosmio_f755-3d320-600-08.jpg,/images/products/qosmio_f755-3d320-600-09.jpg,/images/products/qosmio_f755-3d320-600-10.jpg,/images/products/qosmio_f755-3d320-600-11.jpg,/images/products/qosmio_f755-3d320-600-12.jpg	true	15.6	5400.0
2000011084	Qosmio F755-3D350	Qosmio F755-3D350 Laptop	http://www.toshibadirect.com/td/b2c/pdet.to?poid=2000011084	http://www.toshibadirect.com/images/products/100/qosmio_f755-3d350-laptop.gif	Toshiba	Notebook PCs	883974905379	PQF75U-03F01S	1599.99	1499.99	New	<a href='http://www.toshibadirect.com/td/b2c/toshibadirect.to?page=genuineWindows' title='The Windows Genuine Advantage - Toshiba' target='_blank'>Genuine</a> Windows 7 Home Premium (64-bit), SP1	Intel&reg; Core&#153; i7	2.2 GHz (3.1 GHz with Turbo Boost Technology)		8GB	750GB		Blu-ray Disc&#153; Rewriteable (RE) and DVD SuperMulti drive with Labelflash&reg;	1GB GDDR3 discrete graphics memory		adId=GooglePlusBox	Laptops	0	RTS	/images/products/qosmio_f755-3d320-600-01.jpg,/images/products/qosmio_f755-3d320-600-02.jpg,/images/products/qosmio_f755-3d320-600-03.jpg,/images/products/qosmio_f755-3d320-600-04.jpg,/images/products/qosmio_f755-3d320-600-05.jpg,/images/products/qosmio_f755-3d320-600-06.jpg,/images/products/qosmio_f755-3d320-600-07.jpg,/images/products/qosmio_f755-3d320-600-08.jpg,/images/products/qosmio_f755-3d320-600-09.jpg,/images/products/qosmio_f755-3d320-600-10.jpg,/images/products/qosmio_f755-3d320-600-11.jpg,/images/products/qosmio_f755-3d320-600-12.jpg	true	15.6	5400.0
2000011013	Satellite P770-ST4NX2	Satellite P770-ST4NX2 Laptop	http://www.toshibadirect.com/td/b2c/pdet.to?poid=2000011013	http://www.toshibadirect.com/images/products/100/satellite-p770-st4nx2-laptop.gif	Toshiba	Notebook PCs	883974904808	PSBY3U-09Y01N	1279.0	1029.0	New	<a href='http://www.toshibadirect.com/td/b2c/toshibadirect.to?page=genuineWindows' title='The Windows Genuine Advantage - Toshiba' target='_blank'>Genuine</a> Windows 7 Home Premium (64-bit)	Intel&reg; Core&#153; i7	2.0GHz (2.9GHz with Turbo Boost Technology)	i7-2630QM	6GB	500GB		DVD-SuperMulti drive (+/-R double layer)	1GB GDDR3 discrete graphics memory		adId=GooglePlusBox	Laptops	0	SKU	/images/products/satellite_p775-s7215-600-01.jpg,/images/products/satellite_p775-s7215-600-02.jpg,/images/products/satellite_p775-s7215-600-03.jpg,/images/products/satellite_p775-s7215-600-04.jpg,/images/products/satellite_p775-s7215-600-05.jpg,/images/products/satellite_p775-s7215-600-06.jpg,/images/products/satellite_p775-s7215-600-07.jpg,/images/products/satellite_p775-s7215-600-08.jpg,/images/products/satellite_p775-s7215-600-09.jpg,/images/products/satellite_p775-s7215-600-10.jpg,/images/products/satellite_p775-s7215-600-11.jpg	true	17.3	
2000006033	Satellite C650-BT4N13 Customizable	Satellite C650-BT4N13 Laptop	http://www.toshibadirect.com/td/b2c/cdetland.to?poid=2000006033	http://www.toshibadirect.com/images/products/100/satellite-c650-bt4n13-laptop.gif	Toshiba	Notebook PCs		PSC2EU-02T027	644.0	349.0	New	<a href='http://www.toshibadirect.com/td/b2c/toshibadirect.to?page=genuineWindows' title='The Windows Genuine Advantage - Toshiba' target='_blank'>Genuine</a> Windows 7 Home Premium (64-bit), SP1|<a href='http://www.toshibadirect.com/td/b2c/toshibadirect.to?page=genuineWindows' title='The Windows Genuine Advantage - Toshiba' target='_blank'>Genuine</a> Windows 7 Professional (64-bit), SP1	Intel&reg; Core&#153; i3|Intel&reg; Pentium&reg;	2.20GHz|2.10GHz	B950|i3-2330M	8GB|6GB|3GB|2GB|4GB	320GB|750GB|640GB|500GB		DVD-SuperMulti drive (+/-R double layer)|DVD-SuperMulti (+/-R double layer) with Labelflash&#153; drive	64MB-1696MB dynamically allocated shared graphics memory		adId=GooglePlusBox	Laptops	19.99	BTO	/images/products/satellite-c655-s50xx-600-01.jpg,/images/products/satellite-c655-s50xx-600-02.jpg,/images/products/satellite-c655-s50xx-600-03.jpg,/images/products/satellite-c655-s50xx-600-04.jpg,/images/products/satellite-c655-s50xx-600-05.jpg,/images/products/satellite-c655-s50xx-600-06.jpg,/images/products/satellite-c655-s50xx-600-07.jpg	true	15.6	5400.0
2000010960	Qosmio X775-Q7384	Qosmio X775-Q7384 Laptop	http://www.toshibadirect.com/td/b2c/pdet.to?poid=2000010960	http://www.toshibadirect.com/images/products/100/qosmio-x775-q7384-laptop.gif	Toshiba	Notebook PCs	883974904013	PSBY5U-02401P	1499.99	1399.99	New	<a href='http://www.toshibadirect.com/td/b2c/toshibadirect.to?page=genuineWindows' title='The Windows Genuine Advantage - Toshiba' target='_blank'>Genuine</a> Windows 7 Home Premium (64-bit), SP1	Intel&reg; Core&#153; i7	2.2 GHz (3.1 GHz with Turbo Boost Technology)	i7-2670QM	8GB	500GB		Blu-ray Disc&#153; ROM and DVD SuperMulti drive with Labelflash&reg;	1.5GB GDDR5 discrete graphics memory		adId=GooglePlusBox	Laptops	0	SKU	/images/products/qosmio_x775-q7384-600-01.jpg,/images/products/qosmio_x775-q7384-600-02.jpg,/images/products/qosmio_x775-q7384-600-03.jpg,/images/products/qosmio_x775-q7384-600-04.jpg,/images/products/qosmio_x775-q7384-600-05.jpg,/images/products/qosmio_x775-q7384-600-06.jpg,/images/products/qosmio_x775-q7384-600-07.jpg,/images/products/qosmio_x775-q7384-600-08.jpg,/images/products/qosmio_x775-q7384-600-09.jpg,/images/products/qosmio_x775-q7384-600-10.jpg,/images/products/qosmio_x775-q7384-600-11.jpg,/images/products/qosmio_x775-q7384-600-12.jpg	true	17.3	7200.0
2000010961	Qosmio X775-3DV80	Qosmio X775-3DV80 Laptop	http://www.toshibadirect.com/td/b2c/pdet.to?poid=2000010961	http://www.toshibadirect.com/images/products/100/qosmio-x775-3dv80-laptop.gif	Toshiba	Notebook PCs	883974904006	PSBY5U-02501P	1899.99	1799.99	New	<a href='http://www.toshibadirect.com/td/b2c/toshibadirect.to?page=genuineWindows' title='The Windows Genuine Advantage - Toshiba' target='_blank'>Genuine</a> Windows 7 Home Premium (64-bit)	Intel&reg; Core&#153; i7	2.2 GHz (3.1 GHz with Turbo Boost Technology)	i7-2670QM	8GB	500GB		Blu-ray Disc&#153; Rewriteable (RE) and DVD SuperMulti drive with Labelflash&reg;	1.5GB GDDR5 discrete graphics memory		adId=GooglePlusBox	Laptops	0	SKU	/images/products/qosmio_x775-3dv80-600-01.jpg,/images/products/qosmio_x775-3dv80-600-02.jpg,/images/products/qosmio_x775-3dv80-600-03.jpg,/images/products/qosmio_x775-3dv80-600-04.jpg,/images/products/qosmio_x775-3dv80-600-05.jpg,/images/products/qosmio_x775-3dv80-600-06.jpg,/images/products/qosmio_x775-3dv80-600-07.jpg,/images/products/qosmio_x775-3dv80-600-08.jpg,/images/products/qosmio_x775-3dv80-600-09.jpg,/images/products/qosmio_x775-3dv80-600-10.jpg,/images/products/qosmio_x775-3dv80-600-11.jpg,/images/products/qosmio_x775-3dv80-600-12.jpg	true	17.3	
2000011097	Qosmio X775-Q7380	Qosmio X775-Q7380 Laptop	http://www.toshibadirect.com/td/b2c/pdet.to?poid=2000011097	http://www.toshibadirect.com/images/products/100/qosmio-x775-q7380-laptop.gif	Toshiba	Notebook PCs	883974905492	PSBY5U-02101P	1199.99	1099.99	New	<a href='http://www.toshibadirect.com/td/b2c/toshibadirect.to?page=genuineWindows' title='The Windows Genuine Advantage - Toshiba' target='_blank'>Genuine</a> Windows 7 Home Premium (64-bit), SP1	Intel&reg; Core&#153; i5	2.40GHz (3.00GHz with Turbo Boost Technology)	i5-2430M	6GB	640GB		DVD-SuperMulti drive (+/-R double layer)	1.5GB GDDR5 discrete graphics memory		adId=GooglePlusBox	Laptops	0	RTS	/images/products/qosmio_x775-q7380-600-01.jpg,/images/products/qosmio_x775-q7380-600-02.jpg,/images/products/qosmio_x775-q7380-600-03.jpg,/images/products/qosmio_x775-q7380-600-04.jpg,/images/products/qosmio_x775-q7380-600-05.jpg,/images/products/qosmio_x775-q7380-600-06.jpg,/images/products/qosmio_x775-q7380-600-07.jpg,/images/products/qosmio_x775-q7380-600-08.jpg,/images/products/qosmio_x775-q7380-600-09.jpg,/images/products/qosmio_x775-q7380-600-10.jpg,/images/products/qosmio_x775-q7380-600-11.jpg,/images/products/qosmio_x775-q7380-600-12.jpg	true	17.3	7200.0
2000013984	Satellite P750-ST5N01	Satellite P750-ST5N01 Laptop	http://www.toshibadirect.com/td/b2c/pdet.to?poid=2000013984	http://www.toshibadirect.com/images/products/100/satellite-p750-st5n01-laptop.gif	Toshiba	Notebook PCs	883974934126	PSAY1U-02H028	829.0	599.0	New	<a href='http://www.toshibadirect.com/td/b2c/toshibadirect.to?page=genuineWindows' title='The Windows Genuine Advantage - Toshiba' target='_blank'>Genuine</a> Windows 7 Home Premium (64-bit), SP1	Intel&reg; Core&#153; i3	2.20GHz	i3-2330M	6GB	750GB		DVD-SuperMulti drive (+/-R double layer)	64MB-1696MB dynamically allocated shared graphics memory		adId=GooglePlusBox	Laptops	0	RTS	/images/products/satellite_p755-s5215-600-01.jpg,/images/products/satellite_p755-s5215-600-02.jpg,/images/products/satellite_p755-s5215-600-03.jpg,/images/products/satellite_p755-s5215-600-04.jpg,/images/products/satellite_p755-s5215-600-05.jpg,/images/products/satellite_p755-s5215-600-06.jpg,/images/products/satellite_p755-s5215-600-07.jpg,/images/products/satellite_p755-s5215-600-08.jpg,/images/products/satellite_p755-s5215-600-09.jpg,/images/products/satellite_p755-s5215-600-10.jpg,/images/products/satellite_p755-s5215-600-11.jpg	true	15.6	5400.0
2000013985	Satellite P750-ST5N02	Satellite P750-ST5N02 Laptop	http://www.toshibadirect.com/td/b2c/pdet.to?poid=2000013985	http://www.toshibadirect.com/images/products/100/satellite-p750-st5n02-laptop.gif	Toshiba	Notebook PCs	883974934133	PSAY1U-02J028	899.0	699.0	New	<a href='http://www.toshibadirect.com/td/b2c/toshibadirect.to?page=genuineWindows' title='The Windows Genuine Advantage - Toshiba' target='_blank'>Genuine</a> Windows 7 Home Premium (64-bit), SP1	Intel&reg; Core&#153; i5	2.40GHz (3.00GHz with Turbo Boost Technology)	i5-2430M	6GB	750GB		DVD-SuperMulti drive (+/-R double layer)	64MB-1696MB dynamically allocated shared graphics memory		adId=GooglePlusBox	Laptops	0	RTS	/images/products/satellite_p755-s5215-600-01.jpg,/images/products/satellite_p755-s5215-600-02.jpg,/images/products/satellite_p755-s5215-600-03.jpg,/images/products/satellite_p755-s5215-600-04.jpg,/images/products/satellite_p755-s5215-600-05.jpg,/images/products/satellite_p755-s5215-600-06.jpg,/images/products/satellite_p755-s5215-600-07.jpg,/images/products/satellite_p755-s5215-600-08.jpg,/images/products/satellite_p755-s5215-600-09.jpg,/images/products/satellite_p755-s5215-600-10.jpg,/images/products/satellite_p755-s5215-600-11.jpg	true	15.6	5400.0
